geoid,NAME,B25002_001E,B25002_002E,B25002_003E,state,county,tract,block group,table
360670001001,"Block Group 1, Census Tract 1, Onondaga County, New York",646,486,160,36,067,000100,1,b25002
360670051003,"Block Group 3, Census Tract 51, Onondaga County, New York",362,288,74,36,067,005100,3,b25002
360670050001,"Block Group 1, Census Tract 50, Onondaga County, New York",623,483,140,36,067,005000,1,b25002
360670050002,"Block Group 2, Census Tract 50, Onondaga County, New York",543,514,29,36,067,005000,2,b25002
360670057001,"Block Group 1, Census Tract 57, Onondaga County, New York",402,346,56,36,067,005700,1,b25002
360670057002,"Block Group 2, Census Tract 57, Onondaga County, New York",496,392,104,36,067,005700,2,b25002
360670058002,"Block Group 2, Census Tract 58, Onondaga County, New York",255,163,92,36,067,005800,2,b25002
360670058003,"Block Group 3, Census Tract 58, Onondaga County, New York",375,261,114,36,067,005800,3,b25002
360670058001,"Block Group 1, Census Tract 58, Onondaga County, New York",365,234,131,36,067,005800,1,b25002
360670108003,"Block Group 3, Census Tract 108, Onondaga County, New York",441,425,16,36,067,010800,3,b25002
360670108001,"Block Group 1, Census Tract 108, Onondaga County, New York",697,697,0,36,067,010800,1,b25002
360670108004,"Block Group 4, Census Tract 108, Onondaga County, New York",776,776,0,36,067,010800,4,b25002
360670108002,"Block Group 2, Census Tract 108, Onondaga County, New York",311,311,0,36,067,010800,2,b25002
360670133001,"Block Group 1, Census Tract 133, Onondaga County, New York",320,304,16,36,067,013300,1,b25002
360670133002,"Block Group 2, Census Tract 133, Onondaga County, New York",387,372,15,36,067,013300,2,b25002
360670133003,"Block Group 3, Census Tract 133, Onondaga County, New York",454,437,17,36,067,013300,3,b25002
360670110123,"Block Group 3, Census Tract 110.12, Onondaga County, New York",1030,993,37,36,067,011012,3,b25002
360670110121,"Block Group 1, Census Tract 110.12, Onondaga County, New York",415,401,14,36,067,011012,1,b25002
360670115004,"Block Group 4, Census Tract 115, Onondaga County, New York",201,201,0,36,067,011500,4,b25002
360670019005,"Block Group 5, Census Tract 19, Onondaga County, New York",324,302,22,36,067,001900,5,b25002
360670019004,"Block Group 4, Census Tract 19, Onondaga County, New York",505,505,0,36,067,001900,4,b25002
360670019003,"Block Group 3, Census Tract 19, Onondaga County, New York",521,479,42,36,067,001900,3,b25002
360670023002,"Block Group 2, Census Tract 23, Onondaga County, New York",757,538,219,36,067,002300,2,b25002
360670023001,"Block Group 1, Census Tract 23, Onondaga County, New York",407,256,151,36,067,002300,1,b25002
360670042002,"Block Group 2, Census Tract 42, Onondaga County, New York",473,393,80,36,067,004200,2,b25002
360670049002,"Block Group 2, Census Tract 49, Onondaga County, New York",270,227,43,36,067,004900,2,b25002
360670061013,"Block Group 3, Census Tract 61.01, Onondaga County, New York",638,564,74,36,067,006101,3,b25002
360670061011,"Block Group 1, Census Tract 61.01, Onondaga County, New York",766,583,183,36,067,006101,1,b25002
360670010003,"Block Group 3, Census Tract 10, Onondaga County, New York",656,619,37,36,067,001000,3,b25002
360670017022,"Block Group 2, Census Tract 17.02, Onondaga County, New York",826,714,112,36,067,001702,2,b25002
360670036022,"Block Group 2, Census Tract 36.02, Onondaga County, New York",430,384,46,36,067,003602,2,b25002
360670038002,"Block Group 2, Census Tract 38, Onondaga County, New York",498,427,71,36,067,003800,2,b25002
360670038001,"Block Group 1, Census Tract 38, Onondaga County, New York",496,374,122,36,067,003800,1,b25002
360670118005,"Block Group 5, Census Tract 118, Onondaga County, New York",824,771,53,36,067,011800,5,b25002
360670114023,"Block Group 3, Census Tract 114.02, Onondaga County, New York",546,522,24,36,067,011402,3,b25002
360670114021,"Block Group 1, Census Tract 114.02, Onondaga County, New York",525,465,60,36,067,011402,1,b25002
360670114022,"Block Group 2, Census Tract 114.02, Onondaga County, New York",720,720,0,36,067,011402,2,b25002
360670116003,"Block Group 3, Census Tract 116, Onondaga County, New York",734,686,48,36,067,011600,3,b25002
360670116002,"Block Group 2, Census Tract 116, Onondaga County, New York",677,625,52,36,067,011600,2,b25002
360670127001,"Block Group 1, Census Tract 127, Onondaga County, New York",282,282,0,36,067,012700,1,b25002
360670135003,"Block Group 3, Census Tract 135, Onondaga County, New York",534,534,0,36,067,013500,3,b25002
360670135002,"Block Group 2, Census Tract 135, Onondaga County, New York",912,871,41,36,067,013500,2,b25002
360670150004,"Block Group 4, Census Tract 150, Onondaga County, New York",423,415,8,36,067,015000,4,b25002
360670150001,"Block Group 1, Census Tract 150, Onondaga County, New York",384,384,0,36,067,015000,1,b25002
360670136001,"Block Group 1, Census Tract 136, Onondaga County, New York",492,453,39,36,067,013600,1,b25002
360670136003,"Block Group 3, Census Tract 136, Onondaga County, New York",800,725,75,36,067,013600,3,b25002
360670112321,"Block Group 1, Census Tract 112.32, Onondaga County, New York",1101,1025,76,36,067,011232,1,b25002
360670118002,"Block Group 2, Census Tract 118, Onondaga County, New York",610,610,0,36,067,011800,2,b25002
360670118004,"Block Group 4, Census Tract 118, Onondaga County, New York",509,509,0,36,067,011800,4,b25002
360670118003,"Block Group 3, Census Tract 118, Onondaga County, New York",550,550,0,36,067,011800,3,b25002
360670118001,"Block Group 1, Census Tract 118, Onondaga County, New York",488,446,42,36,067,011800,1,b25002
360670112022,"Block Group 2, Census Tract 112.02, Onondaga County, New York",631,631,0,36,067,011202,2,b25002
360670112021,"Block Group 1, Census Tract 112.02, Onondaga County, New York",1191,1167,24,36,067,011202,1,b25002
360670112312,"Block Group 2, Census Tract 112.31, Onondaga County, New York",791,748,43,36,067,011231,2,b25002
360670113002,"Block Group 2, Census Tract 113, Onondaga County, New York",370,334,36,36,067,011300,2,b25002
360670113003,"Block Group 3, Census Tract 113, Onondaga County, New York",987,888,99,36,067,011300,3,b25002
360670114012,"Block Group 2, Census Tract 114.01, Onondaga County, New York",1411,1306,105,36,067,011401,2,b25002
360670103013,"Block Group 3, Census Tract 103.01, Onondaga County, New York",637,637,0,36,067,010301,3,b25002
360670103012,"Block Group 2, Census Tract 103.01, Onondaga County, New York",262,262,0,36,067,010301,2,b25002
360670103011,"Block Group 1, Census Tract 103.01, Onondaga County, New York",227,227,0,36,067,010301,1,b25002
360670105001,"Block Group 1, Census Tract 105, Onondaga County, New York",464,450,14,36,067,010500,1,b25002
360670039001,"Block Group 1, Census Tract 39, Onondaga County, New York",284,162,122,36,067,003900,1,b25002
360670039003,"Block Group 3, Census Tract 39, Onondaga County, New York",946,578,368,36,067,003900,3,b25002
360670103221,"Block Group 1, Census Tract 103.22, Onondaga County, New York",842,773,69,36,067,010322,1,b25002
360670109001,"Block Group 1, Census Tract 109, Onondaga County, New York",468,427,41,36,067,010900,1,b25002
360670104002,"Block Group 2, Census Tract 104, Onondaga County, New York",923,837,86,36,067,010400,2,b25002
360670105002,"Block Group 2, Census Tract 105, Onondaga County, New York",490,448,42,36,067,010500,2,b25002
360679400001,"Block Group 1, Census Tract 9400, Onondaga County, New York",127,127,0,36,067,940000,1,b25002
360670160013,"Block Group 3, Census Tract 160.01, Onondaga County, New York",422,368,54,36,067,016001,3,b25002
360670148001,"Block Group 1, Census Tract 148, Onondaga County, New York",247,225,22,36,067,014800,1,b25002
360670148003,"Block Group 3, Census Tract 148, Onondaga County, New York",434,434,0,36,067,014800,3,b25002
360670168022,"Block Group 2, Census Tract 168.02, Onondaga County, New York",902,663,239,36,067,016802,2,b25002
360670027001,"Block Group 1, Census Tract 27, Onondaga County, New York",394,316,78,36,067,002700,1,b25002
360670036011,"Block Group 1, Census Tract 36.01, Onondaga County, New York",476,442,34,36,067,003601,1,b25002
