GEOID,priority_miles,city_miles,priority_fraction,SUM_res_sq_miles,SUM_sq_miles,pct_res,mean_grade,dangle_miles,dangle_fraction,pop,units,med_inc,shr_poc,shr_occ,District
360670060003,0.602362754,4.438784248,0.135704445,0.106239321,0.131913416,80.53716153,1.557950332,0.07804278,0.017582017,1394.0,639.0,48532.0,0.4785,0.928,9
360670060004,1.141264997,2.996324235,0.380888351,0.108313018,0.129169447,83.853435,1.524753254,0.275052252,0.091796558,1020.0,540.0,33947.0,0.5471,0.8667,9
360670061011,2.036820042,5.095860724,0.399700885,0.118990987,0.216709234,54.90812938,3.213847266,0.866771922,0.17009333,1780.0,766.0,19110.0,0.4798,0.7611,9
360670061012,0.330291946,2.291611431,0.144130869,0.050494733,0.075133855,67.20636476,1.464996222,0.144936975,0.06324675,864.0,395.0,22303.0,0.6215,0.8076,9
360670061013,0.727347743,3.087130454,0.235606416,0.070018782,0.120193797,58.25490444,0.394782377,0.762593263,0.247023336,1206.0,638.0,23581.0,0.6998,0.884,9
360670061021,1.287904818,3.30719385,0.389425258,0.014881553,0.099704178,14.92570664,3.199738477,0.154377039,0.046679162,776.0,717.0,15913.0,0.3647,1.0,9
360670061022,0.208156727,0.886804083,0.234726848,0.061789922,0.38640854,15.99082721,2.986380609,0.104032692,0.117311923,1066.0,800.0,28438.0,0.5,0.735,9
360670061031,0.925531826,7.294804765,0.126875476,0.291668218,0.385674948,75.62539887,2.71963558,1.677130541,0.229907529,1923.0,826.0,92857.0,0.208,0.9056,9
360670061032,0.44039318,3.301386006,0.133396452,0.114984683,0.240599556,47.79089588,0.588188267,0.714676808,0.216477809,707.0,369.0,47917.0,0.3013,0.8428,9
360670132001,0.003926087,0.020954799,0.18735979,0,0.0001478,0,4.437070837,0,0,1162.0,512.0,45583.0,0.0525,0.8398,2
360670132002,0,0.467985856,0,0,0.071286081,0,3.799851595,0.120372312,0.257213567,1495.0,631.0,88750.0,0.0288,0.9699,
