X,Y,truck_name,repair_type,date_fixed,date_fixed1,address,activity_type,longitude,latitude,FID
-76.1189124324109,43.0364057068368,286             ,SNOW & ICE,2017/03/13 05:19:15+00,2017/03/13 05:19:16+00,822-26 EUCLID AVE & WESTCOTT ST                   ,    Plow Up,-76.1189124324109,43.0364057068368,2054
-76.1125307316817,43.0550719105145,216             ,SNOW & ICE,2017/03/13 05:19:17+00,2017/03/13 05:19:17+00,1216 CANAL ST REAR                                ,    ,-76.1125307316817,43.0550719105145,2055
-76.1795039515642,43.0294117032057,210             ,SNOW & ICE,2017/03/13 05:19:18+00,2017/03/13 05:19:19+00,1017 STOLP AVE                                    ,    ,-76.1795039515642,43.0294117032057,2056
-76.110415231015,43.055347410647,208             ,SNOW & ICE,2017/03/13 05:19:19+00,2017/03/13 05:19:19+00,1200 CANAL ST                                     ,    ,-76.110415231015,43.055347410647,2057
-76.1189297324372,43.0366946068893,286             ,SNOW & ICE,2017/03/13 05:19:21+00,2017/03/13 05:19:22+00,767 WESTCOTT ST & EUCLID AVE                      ,    Stop Moving,-76.1189297324372,43.0366946068893,2058
-76.1123824316307,43.0550307105127,216             ,SNOW & ICE,2017/03/13 05:19:23+00,2017/03/13 05:19:23+00,1216 CANAL ST REAR                                ,    Stop Moving,-76.1123824316306,43.0550307105127,2059
-76.1054526294079,43.0553964108478,265             ,SNOW & ICE,2017/03/13 05:19:24+00,2017/03/13 05:19:25+00,116 MIDLER RAMP DR W                              ,    ,-76.1054526294079,43.0553964108478,2060
-76.1189397324481,43.0368012069085,286             ,SNOW & ICE,2017/03/13 05:19:35+00,2017/03/13 05:19:36+00,767 WESTCOTT ST & EUCLID AVE                      ,    Start Moving,-76.1189397324481,43.0368012069085,2061
-76.1644661464713,43.0264204032383,283             ,SNOW & ICE,2017/03/13 05:19:41+00,2017/03/13 05:19:41+00,117 ONONDAGA PARK DR SYRACUSE 13207               ,    ,-76.1644661464713,43.0264204032383,2062
-76.1632152477509,43.0498314075896,285             ,SNOW & ICE,2017/03/13 05:19:43+00,2017/03/13 05:19:43+00,401 TRACY ST &N LEAVENWORTH A                     ,    ,-76.1632152477509,43.0498314075896,2063
-76.1113602313274,43.0554272106251,179             ,SNOW & ICE,2017/03/13 05:19:48+00,2017/03/13 05:19:49+00,1820 EB I 690 SYRACUSE 13210                      ,    ,-76.1113602313274,43.0554272106251,2064
-76.1048452290725,43.0534726105178,261             ,SNOW & ICE,2017/03/13 05:19:51+00,2017/03/13 05:19:52+00,2406 ERIE BLVD E SYRACUSE 13224                   ,    ,-76.1048452290725,43.0534726105178,2065
-76.1470217396549,43.0103082009504,267             ,SNOW & ICE,2017/03/13 05:19:53+00,2017/03/13 05:19:53+00,325 BALLANTYNE RD & MIDLAND A                     ,    ,-76.147021739655,43.0103082009504,2066
-76.1634289477919,43.049437607509,285             ,SNOW & ICE,2017/03/13 05:19:55+00,2017/03/13 05:19:56+00,401 TRACY ST &N LEAVENWORTH A                     ,    ,-76.1634289477919,43.049437607509,2067
-76.1044797289569,43.0535152105397,261             ,SNOW & ICE,2017/03/13 05:19:56+00,2017/03/13 05:19:57+00,2428 ERIE BLVD E SYRACUSE 13224                   ,    Spreader Off,-76.1044797289569,43.0535152105397,2068
-76.1008677269489,43.0418829085412,263             ,SNOW & ICE,2017/03/13 05:19:58+00,2017/03/13 05:19:58+00,1723 MEADOWBROOK DR & HURLBURT                    ,    ,-76.1008677269489,43.0418829085412,2069
-76.153714144467,43.0470352074439,178             ,SNOW & ICE,2017/03/13 05:19:58+00,2017/03/13 05:19:58+00,416-30 CLINTON ST S & JEFFERSON                   ,    ,-76.153714144467,43.0470352074439,2070
